,name,latitude,longitude,empty_slots,free_bikes,total_bikes
282,Dentonia Park,43.694341,-79.291416,13,9,22
283,Lower Jarvis St / Queens Quay E,43.64422,-79.36927,6,12,18
284,Summerhill Ave / Maclennan Ave,43.685924,-79.376304,10,1,11
285,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,8,17,25
286,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,7,11,18
287,Ellis Ave / The Queensway,43.63855,-79.46693,0,17,17
288,High Park - Grenadier Cafe,43.645599,-79.4657123,6,5,11
289,Winona Dr / Davenport Rd,43.674923,-79.430465,9,2,11
290,Danforth Ave / Aldridge Ave,43.684758,-79.316767,7,4,11
291,Dundonald St / Church St,43.66663,-79.38148,20,19,39
292,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,13,6,19
293,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,3,31,34
294,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,3,15,18
295,Bremner Blvd / Rees St,43.641529,-79.386741,8,15,23
296,King St W / Crawford St,43.6417852,-79.4131148,3,18,21
297,Yonge St / Dundas Sq,43.655766,-79.3802,22,7,29
298,St Clair Ave W / Winona Dr,43.680466,-79.432522,5,6,11
299,Bay St / Wellesley St W,43.664088,-79.387095,36,15,51
300,Humberside Grounds - SMART,43.65917,-79.46997,10,10,20
301,Bloor St E / Huntley St - SMART,43.671535,-79.379173,7,8,15
302,Wellington St W / York St,43.646734,-79.38301,16,7,23
303,Dalton Rd / Bloor St W,43.6662942,-79.4066433,8,7,15
304,Davenport Rd / Christie St,43.675278,-79.423889,17,9,26
305,King St W / Jordan St,43.648928,-79.378623,6,5,11
306,George St / King St E,43.6509552,-79.3707,3,11,14
307,E.T. Seton Park (Eglinton Ave E / Leslie St),43.715951,-79.351246,21,6,27
308,Woodbine Ave / Lake Shore Blvd E,43.665645,-79.304711,1,26,27
309,King St W / Charlotte St,43.645572,-79.39399,22,1,23
310,Jarvis St / Richmond St E,43.652777,-79.372637,15,4,19
